%time,field.header.seq,field.header.stamp,field.header.frame_id,field.positioning_dim,field.latitude,field.longitude,field.height,field.latitude_error,field.longitude_error,field.height_error,field.gps_connection_status,field.antena_status_open,field.antena_status_short
1634523383245216119,6924,1634523383244594287,gps_m2/gps,3,35.0258774,137.1549941,45.0400009155,0.585978806019,0.525229990482,1.24175572395,2,1,1
1634523384244826955,6925,1634523384244349376,gps_m2/gps,3,35.0260298,137.1552315,45.2480010986,0.585064530373,0.523915827274,1.24096870422,2,1,1
1634523385244502487,6926,1634523385244315086,gps_m2/gps,3,35.0261825,137.1554693,45.3330001831,0.584835231304,0.524029135704,1.24201512337,2,1,1
1634523386244591910,6927,1634523386244298816,gps_m2/gps,3,35.0263358,137.155707,45.3689994812,0.585181474686,0.525016665459,1.2469574213,2,1,1
1634523387244787460,6928,1634523387244390848,gps_m2/gps,3,35.0264896,137.1559448,45.3079986572,0.5859567523,0.526111185551,1.25327992439,2,1,1
1634523388244485559,6929,1634523388244319650,gps_m2/gps,3,35.0266435,137.1561822,45.2290000916,0.585924386978,0.527709901333,1.26191699505,2,1,1
1634523389244436604,6930,1634523389244239416,gps_m2/gps,3,35.0267982,137.1564183,45.0540008545,0.58462870121,0.528112530708,1.2642326355,2,1,1
1634523390245067412,6931,1634523390244911423,gps_m2/gps,3,35.0269542,137.1566532,44.9210014343,0.583185613155,0.527532458305,1.26501142979,2,1,1
1634523391247315100,6932,1634523391247158514,gps_m2/gps,3,35.0271118,137.1568867,44.7529983521,0.58214867115,0.526921510696,1.26513397694,2,1,1
1634523392244441410,6933,1634523392244341095,gps_m2/gps,3,35.0272717,137.1571177,44.5870018005,0.580567657948,0.525605916977,1.26285743713,2,1,1
1634523393245094497,6934,1634523393244977938,gps_m2/gps,3,35.0274346,137.1573453,44.3989982605,0.578630983829,0.523955821991,1.2596950531,2,1,1
1634523394246415769,6935,1634523394246299367,gps_m2/gps,3,35.0276001,137.1575693,44.4140014648,0.57713663578,0.524169445038,1.2605265379,2,1,1
